Zone,1,2,3
t1,86.09059833019442,86.09059833019442,84.41505234469456
t2,86.09059833019442,86.09059833019442,84.41505234469456
t3,86.09059833019442,86.09059833019442,84.41505234469456
t4,86.09059833019442,86.09059833019442,84.41505234469456
t5,86.09059833019442,86.09059833019442,84.41505234469456
t6,86.09059833019442,86.09059833019442,84.41505234469456
t7,86.09059833019442,86.09059833019442,84.41505234469456
t8,86.09059833019442,86.09059833019442,84.41505234469462
t9,86.09059833019442,86.09059833019442,84.41505234469456
t10,86.09059833019442,86.09059833019442,84.41505234469456
t11,86.09059833019442,86.09059833019442,84.41505234469456
t12,86.09059833019442,86.09059833019442,84.41505234469456
t13,86.09059833019442,86.09059833019442,84.41505234469456
t14,86.09059833019442,86.09059833019442,84.41505234469456
t15,86.09059833019442,86.09059833019442,84.41505234469456
t16,86.09059833019442,86.09059833019442,84.41505234469456
t17,86.09059833019442,86.09059833019442,84.41505234469456
t18,86.09059833019442,86.09059833019442,84.41505234469456
t19,86.09059833019442,86.09059833019442,84.41505234469456
t20,86.09059833019442,86.09059833019442,84.41505234469456
t21,86.09059833019442,86.09059833019442,84.41505234469456
t22,86.09059833019442,86.09059833019442,84.41505234469456
t23,86.09059833019442,86.09059833019442,84.41505234469456
t24,86.09059833019442,86.09059833019442,84.41505234469456
t25,86.09059833019442,86.09059833019442,84.41505234469456
t26,86.09059833019442,86.09059833019442,84.41505234469456
t27,86.09059833019442,86.09059833019442,84.41505234469456
t28,86.09059833019442,86.09059833019442,84.41505234469456
t29,86.09059833019442,86.09059833019442,84.41505234469456
t30,86.09059833019442,86.09059833019442,84.41505234469456
t31,86.09059833019442,86.09059833019442,84.41505234469456
t32,86.09059833019442,86.09059833019442,84.41505234469456
t33,86.09059833019442,86.09059833019442,84.41505234469456
t34,86.09059833019442,86.09059833019442,84.41505234469456
t35,86.09059833019442,86.09059833019442,84.41505234469456
t36,86.09059833019442,86.09059833019442,84.41505234469456
t37,86.09059833019442,86.09059833019442,84.41505234469456
t38,86.09059833019442,86.09059833019442,84.41505234469456
t39,86.09059833019442,86.09059833019442,84.41505234469456
t40,86.09059833019442,86.09059833019442,84.41505234469456
t41,86.09059833019442,86.09059833019442,84.41505234469456
t42,86.09059833019442,86.09059833019442,87.79940206145815
t43,86.09059833019442,86.09059833019442,87.79940206145815
t44,86.09059833019442,86.09059833019442,84.41505234469456
t45,86.09059833019442,86.09059833019442,84.41505234469456
t46,86.09059833019442,86.09059833019442,84.41505234469456
t47,86.09059833019442,86.09059833019442,84.41505234469456
t48,86.09059833019442,86.09059833019442,84.41505234469456
t49,86.09059833019442,86.09059833019442,84.41505234469456
t50,86.09059833019442,86.09059833019442,84.41505234469456
t51,86.09059833019442,86.09059833019442,84.41505234469456
t52,86.09059833019442,86.09059833019442,84.41505234469456
t53,86.09059833019442,86.09059833019442,84.41505234469456
t54,86.09059833019442,86.09059833019442,84.41505234469456
t55,86.09059833019442,86.09059833019442,84.41505234469456
t56,86.09059833019442,86.09059833019442,84.41505234469456
t57,86.09059833019442,86.09059833019442,84.41505234469456
t58,86.09059833019442,86.09059833019442,84.41505234469456
t59,86.09059833019442,86.09059833019442,84.41505234469456
t60,86.09059833019442,86.09059833019442,84.41505234469456
t61,86.09059833019442,86.09059833019442,84.41505234469456
t62,86.09059833019442,86.09059833019442,84.41505234469456
t63,86.09059833019442,86.09059833019442,84.41505234469456
t64,86.09059833019442,86.09059833019442,84.41505234469456
t65,86.09059833019442,86.09059833019442,84.41505234469456
t66,86.09059833019442,86.09059833019442,84.41505234469456
t67,86.09059833019442,86.09059833019442,84.41505234469456
