region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
USA_Single,natural_gas_fired_combined_cycle3,1,3,22,0.0,0.0,4.331426e7,0.0,6.106392914999999e7,3.0961732228358746e8,0.0,0.0,0.0,4.1945664e8,0.0,0.0,0.0,0.0,0.0,4.1945664e8,4.1399551143358743e8,5.461128566412568e6
USA_Single,natural_gas_fired_combined_cycle4,1,4,23,0.0,0.0,1.4491376e8,0.0,2.3012931984e8,1.407177707440363e9,0.0,0.0,0.0,2.1173079e9,0.0,0.0,0.0,0.0,0.0,2.117307904e9,1.782220787280363e9,3.350871167196369e8
USA_Single,natural_gas_fired_combined_cycle5,1,5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,natural_gas_fired_combined_cycle6,1,6,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,natural_gas_fired_combustion_turbine1,1,1,26,0.0,0.0,4.223968e6,0.0,1.067798592e7,3.84994785034134e7,0.0,0.0,0.0,6.6406804e7,0.0,0.0,0.0,0.0,0.0,6.6406804e7,5.34014324234134e7,1.3005371576586597e7
USA_Single,natural_gas_fired_combustion_turbine2,1,2,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,natural_gas_fired_combustion_turbine3,1,3,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,natural_gas_fired_combustion_turbine4,1,5,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,natural_gas_fired_combustion_turbine5,1,6,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,natural_gas_steam_turbine1,1,1,31,0.0,0.0,6.85119e6,0.0,284435.5625,1.0364372699914666e7,0.0,0.0,0.0,1.8441064e7,0.0,0.0,0.0,0.0,0.0,1.8441064e7,1.7499998262414664e7,941065.737585336
