,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.860941548164505e8,1.874257222272403e7,-2.214387077353973e7,0.0,0.0,113935.6884555776,0.0,0.0,0.0,-4.90597226e8
t1,43895.94735747208,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-44187
t2,42201.06721345366,0.0,-2448.1198559815693,0,-0.0,0.0,0.0,0,0,-40044
t3,42701.05333982166,0.0,-6457.105982349569,0,-0.0,0.0,0.0,0,0,-36535
t4,41915.700934227665,0.0,-7531.753576755574,0,-0.0,0.0,0.0,0,0,-34675
t5,42437.52181784799,0.0,-10253.574460375903,0,-0.0,0.0,0.0,0,0,-32475
t6,41351.478568255996,0.0,-9182.531210783904,0,-0.0,0.0,0.0,0,0,-32460
t7,41478.5263463106,0.0,-203.57898883851158,0,-0.0,0.0,0.0,0,0,-41566
t8,43253.471188524985,7670.476168947105,-0.0,0,-0.0,0.0,0.0,0,0,-51215
t9,42790.88723616199,10624.0601213101,-0.0,0,-0.0,0.0,0.0,0,0,-53706
t10,42248.366842972355,11563.580514499725,-0.0,0,-0.0,0.0,0.0,0,0,-54103
t11,52669.426721275675,1483.520636196391,-0.0,0,-0.0,0.0,0.0,0,0,-54444
t12,55862.36606932708,0.0,-1703.4187118549978,0,-0.0,0.0,0.0,0,0,-54450
t13,56134.33286790376,0.0,-2362.3855104316654,0,-0.0,0.0,0.0,0,0,-54063
t14,65244.020447042654,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-53711
t15,65919.02044704264,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-54386
t16,68053.34904418193,63.335701430369,-11760.737388140202,0,-0.0,0.0,0.0,0,0,-56647
t17,66212.449365783,2245.7855406298418,-9578.287548940729,0,-0.0,0.0,0.0,0,0,-59171
t18,61681.13854778906,5134.440949626806,-6689.632139943765,0,-0.0,0.0,0.0,0,0,-60417
t19,60690.947357472105,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-60982
t20,58496.736787360445,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-59952
t21,48538.276504110734,8251.460283249708,-0.0,0,-0.0,0.0,0.0,0,0,-58245
t22,53063.92502258296,1280.811764777478,-0.0,0,-0.0,0.0,0.0,0,0,-55800
t23,51976.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-53432
t24,49550.73678736043,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-51006
t25,47836.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-49292
t26,46778.9452675963,547.7915197641405,-0.0,0,-0.0,0.0,0.0,0,0,-48782
t27,47510.73678736043,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-48966
