Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,236,67443
,,,,,,,,237,64130
,,,,,,,,238,60396
,,,,,,,,239,54624
,,,,,,,,240,41205
,,,,,,,,241,31993
,,,,,,,,242,26851
,,,,,,,,243,25316
,,,,,,,,244,27903
,,,,,,,,245,35303
,,,,,,,,246,45148
,,,,,,,,247,54350
,,,,,,,,248,64444
,,,,,,,,249,67255
,,,,,,,,250,66497
,,,,,,,,251,65686
,,,,,,,,252,64841
,,,,,,,,253,64139
,,,,,,,,254,63696
,,,,,,,,255,64234
,,,,,,,,256,66114
,,,,,,,,257,68201
,,,,,,,,258,69166
,,,,,,,,259,69238
,,,,,,,,260,67661
,,,,,,,,261,64574
,,,,,,,,262,60831
,,,,,,,,263,55252
,,,,,,,,264,42643
,,,,,,,,265,33894
,,,,,,,,266,29164
,,,,,,,,267,27782
,,,,,,,,268,30504
,,,,,,,,269,37960
,,,,,,,,270,47544
,,,,,,,,271,56413
,,,,,,,,272,66302
,,,,,,,,273,69916
,,,,,,,,274,69699
,,,,,,,,275,69077
,,,,,,,,276,68422
,,,,,,,,277,67813
,,,,,,,,278,67406
,,,,,,,,279,67941
,,,,,,,,280,70085
,,,,,,,,281,72685
,,,,,,,,282,74108
,,,,,,,,283,74363
,,,,,,,,284,72930
,,,,,,,,285,69990
,,,,,,,,286,66471
,,,,,,,,287,60729
,,,,,,,,288,47905
,,,,,,,,289,38826
,,,,,,,,290,33824
,,,,,,,,291,32400
,,,,,,,,292,35124
,,,,,,,,293,42556
,,,,,,,,294,52312
,,,,,,,,295,61742
,,,,,,,,296,72258
,,,,,,,,297,75382
,,,,,,,,298,74123
,,,,,,,,299,72514
,,,,,,,,300,70970
,,,,,,,,301,69512
,,,,,,,,302,68386
,,,,,,,,303,68522
,,,,,,,,304,70545
,,,,,,,,305,72887
,,,,,,,,306,73890
,,,,,,,,307,74107
,,,,,,,,308,72814
,,,,,,,,309,70655
,,,,,,,,310,67731
,,,,,,,,311,62136
,,,,,,,,312,49010
,,,,,,,,313,40364
,,,,,,,,314,35920
,,,,,,,,315,34740
,,,,,,,,316,36901
,,,,,,,,317,43729
,,,,,,,,318,54439
,,,,,,,,319,63450
,,,,,,,,320,69075
,,,,,,,,321,69698
,,,,,,,,322,68304
,,,,,,,,323,66452
,,,,,,,,324,64522
,,,,,,,,325,62894
,,,,,,,,326,61851
,,,,,,,,327,62172
,,,,,,,,328,64151
,,,,,,,,329,66966
,,,,,,,,330,68297
,,,,,,,,331,68832
,,,,,,,,332,68188
,,,,,,,,333,66475
,,,,,,,,334,64043
,,,,,,,,335,58972
,,,,,,,,336,46133
,,,,,,,,337,36861
,,,,,,,,338,32081
,,,,,,,,339,30324
,,,,,,,,340,31487
,,,,,,,,341,35911
,,,,,,,,342,43161
,,,,,,,,343,52997
,,,,,,,,344,63307
,,,,,,,,345,65369
,,,,,,,,346,63973
,,,,,,,,347,62640
,,,,,,,,348,61372
,,,,,,,,349,60164
,,,,,,,,350,59537
,,,,,,,,351,60038
,,,,,,,,352,62526
,,,,,,,,353,65964
,,,,,,,,354,67530
,,,,,,,,355,68287
,,,,,,,,356,67162
,,,,,,,,357,65121
,,,,,,,,358,62552
,,,,,,,,359,57026
,,,,,,,,360,44029
,,,,,,,,361,35458
,,,,,,,,362,30754
,,,,,,,,363,29063
,,,,,,,,364,31079
,,,,,,,,365,36755
,,,,,,,,366,45044
,,,,,,,,367,54422
,,,,,,,,368,65112
,,,,,,,,369,68792
,,,,,,,,370,68480
,,,,,,,,371,67719
,,,,,,,,372,66817
,,,,,,,,373,66018
,,,,,,,,374,65414
,,,,,,,,375,65657
,,,,,,,,376,67512
,,,,,,,,377,69439
,,,,,,,,378,70197
,,,,,,,,379,69831
,,,,,,,,380,67689
,,,,,,,,381,64488
,,,,,,,,382,60483
,,,,,,,,383,53973
,,,,,,,,384,40646
,,,,,,,,385,31508
,,,,,,,,386,26037
,,,,,,,,387,24396
,,,,,,,,388,26845
,,,,,,,,389,34283
,,,,,,,,390,43631
,,,,,,,,391,52894
,,,,,,,,392,63324
,,,,,,,,393,67325
,,,,,,,,394,67197
,,,,,,,,395,66716
,,,,,,,,396,66162
,,,,,,,,397,65560
,,,,,,,,398,64911
,,,,,,,,399,65183
,,,,,,,,400,66959
,,,,,,,,401,69082
,,,,,,,,402,70320
,,,,,,,,403,70318
,,,,,,,,404,68653
,,,,,,,,405,65552
,,,,,,,,406,61736
,,,,,,,,407,55515
,,,,,,,,408,42782
,,,,,,,,409,34058
,,,,,,,,410,29041
,,,,,,,,411,27589
,,,,,,,,412,30328
,,,,,,,,413,37900
,,,,,,,,414,47799
,,,,,,,,415,57032
,,,,,,,,416,67215
,,,,,,,,417,70650
,,,,,,,,418,69742
,,,,,,,,419,68588
,,,,,,,,420,67504
,,,,,,,,421,66587
,,,,,,,,422,65986
,,,,,,,,423,66467
,,,,,,,,424,68864
