region,Resource,Resource_Type,cluster,R_ID,Zone,CapRes_1,THERM,STOR,DR,HEAT,NACC,TRADER,HYDRO,FLEX,MUST_RUN,VRE,Num_VRE_Bins,ESR_1,ESR_2,Existing_Cap_MWh,Existing_Charge_Cap_MW,Existing_Cap_MW,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time
USA_Single,conventional_steam_coal15,conventional_steam_coal15,21,17,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,1,0,0,0,-1,0,-1,0,69891,0,0,0,0,1.78,0,117,16.5,10.36,west_north_central_coal,0.398,0,1,1,1,0,0,0,0,0,0.57,0.57,24,24
USA_Single,geothermal,geothermal,1,18,1,0.9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,192,-1,1,0,0,0,-1,0,-1,0,198040,0,0,0,0,0,0,0,0,9.12,None,0.361,0,1,1,1.58,0,0,0,0,0,1,1,0,0
USA_Single,natural_gas_fired_combined_cycle1,natural_gas_fired_combined_cycle1,1,20,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342,0,1,0,0,0,-1,0,-1,0,15620,0,0,0,0,4.31,0,87,2,9.38,west_north_central_naturalgas,0.465,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,natural_gas_fired_combined_cycle2,natural_gas_fired_combined_cycle2,2,21,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13646,0,1,0,0,0,-1,0,-1,0,9270,0,0,0,0,3.42,0,87,2,7.3,west_north_central_naturalgas,0.437,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,natural_gas_fired_combined_cycle3,natural_gas_fired_combined_cycle3,3,22,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2773,0,1,0,0,0,-1,0,-1,0,15620,0,0,0,0,4.31,0,87,2,7.46,west_north_central_naturalgas,0.565,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,natural_gas_fired_combined_cycle4,natural_gas_fired_combined_cycle4,4,23,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12407,0,1,0,0,0,-1,0,-1,0,11680,0,0,0,0,3.37,0,87,2,7.06,west_north_central_naturalgas,0.503,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,natural_gas_fired_combined_cycle5,natural_gas_fired_combined_cycle5,5,24,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,1,0,0,0,-1,0,-1,0,15620,0,0,0,0,4.31,0,87,2,12.47,west_north_central_naturalgas,0.533,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,natural_gas_fired_combined_cycle6,natural_gas_fired_combined_cycle6,6,25,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,0,1,0,0,0,-1,0,-1,0,10562,0,0,0,0,3.39,0,87,2,10.53,west_north_central_naturalgas,0.434,0,1,1,1,0,0,0,0,0,0.64,0.64,6,6
USA_Single,natural_gas_fired_combustion_turbine1,natural_gas_fired_combustion_turbine1,1,26,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,1,0,0,0,-1,0,-1,0,12208,0,0,0,0,4.41,0,113,3.5,5.44,west_north_central_naturalgas,0.584,0,1,1,1,0,0,0,0,0,3.78,3.78,1,1
USA_Single,natural_gas_fired_combustion_turbine2,natural_gas_fired_combustion_turbine2,2,27,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7483,0,1,0,0,0,-1,0,-1,0,9395,0,0,0,0,4.41,0,113,3.5,10.95,west_north_central_naturalgas,0.529,0,1,1,1,0,0,0,0,0,3.78,3.78,1,1
