Segment,1,2,3,4,Total
t106,57156.669927410876,2683.76,1610.256,201.282,57156.669927410876
t107,56333.46030927487,2619.36,1571.616,196.452,56333.46030927487
t108,55024.89270676389,2570.6,1542.3600000000001,192.79500000000002,55024.89270676389
t109,53339.22854297188,2527.44,1516.464,189.558,53339.22854297188
t110,53111.10359414887,2495.84,1497.5040000000001,187.18800000000002,53111.10359414887
t111,53475.55089275288,2511.48,1506.888,188.361,53475.55089275288
t112,56376.878250136884,2606.76,1564.056,195.507,56376.878250136884
t113,58398.949191776876,2722.56,1633.536,204.192,58398.949191776876
t114,59743.839361564875,2780.32,1668.192,208.524,59743.839361564875
t115,59358.15233524888,2792.88,1675.728,209.466,59358.15233524888
t116,58679.55369604088,2734.68,1640.808,205.101,58679.55369604088
t117,56310.83108190688,2618.6,1571.16,196.395,56310.83108190688
t118,52273.072124122875,2474.6,1484.76,185.595,52273.072124122875
t119,48933.17668018888,2316.88,1390.128,173.766,48933.17668018888
t120,41600.88944342287,1988.0,1192.8,149.1,41600.88944342287
t121,33651.05696930289,1676.28,1005.768,125.721,33651.05696930289
t122,27606.941683542875,1388.08,832.8480000000001,104.10600000000001,27606.941683542875
t123,21990.532581790874,1176.4,705.84,88.23,21990.532581790874
t124,24896.007990912873,1286.44,771.864,96.483,24896.007990912873
t125,33001.58155466489,1633.96,980.376,122.547,33001.58155466489
t126,41508.50951103021,1969.6000000000001,1181.76,147.72,41508.50951103021
t127,48478.28355146221,2297.52,1378.512,172.314,48478.28355146221
t128,55165.36709499821,2613.32,1567.992,195.999,55165.36709499821
t129,56563.03039509688,2644.16,1586.496,198.312,56563.03039509688
t130,55182.499544716884,2585.0,1551.0,193.875,55182.499544716884
t131,53855.45035555288,2528.12,1516.872,189.609,53855.45035555288
t132,52866.099839472874,2485.7200000000003,1491.432,186.429,52866.099839472874
t133,52262.53773371688,2445.32,1467.192,183.399,52262.53773371688
t134,50831.58017293288,2413.08,1447.848,180.981,50831.58017293288
t135,51524.65916498287,2413.7200000000003,1448.232,181.029,51524.65916498287
t136,52509.23820863088,2485.04,1491.0240000000001,186.37800000000001,52509.23820863088
t137,54800.86249042087,2568.76,1541.256,192.657,54800.86249042087
t138,55291.30050554088,2589.8,1553.88,194.235,55291.30050554088
t139,55466.77919333487,2582.8,1549.68,193.71,55466.77919333487
t140,53479.75654463888,2526.7200000000003,1516.032,189.504,53479.75654463888
t141,52000.90696979288,2434.2400000000002,1460.544,182.568,52000.90696979288
t142,48650.76691142488,2319.7200000000003,1391.832,173.979,48650.76691142488
t143,46517.75932594688,2199.2000000000003,1319.52,164.94,46517.75932594688
t144,41620.69282005087,2018.3600000000001,1211.016,151.377,41620.69282005087
t145,36408.74496994688,1765.8400000000001,1059.5040000000001,132.43800000000002,36408.74496994688
t146,29562.650307514876,1501.44,900.864,112.608,29562.650307514876
t147,25615.900621854875,1303.16,781.8960000000001,97.73700000000001,25615.900621854875
t148,20277.53736677487,1103.4,662.04,82.755,20277.53736677487
t149,23222.06996915287,1200.56,720.336,90.042,23222.06996915287
t150,28890.290522944873,1472.68,883.6080000000001,110.45100000000001,28890.290522944873
t151,38135.475568088885,1854.52,1112.712,139.089,38135.475568088885
t152,48228.98839488888,2272.7200000000003,1363.632,170.454,48228.98839488888
t153,49909.56492420888,2373.88,1424.328,178.041,49909.56492420888
t154,50195.10222449688,2371.6,1422.96,177.87,50195.10222449688
t155,49668.531287744874,2349.04,1409.424,176.178,49668.531287744874
t156,49134.13282390088,2311.6,1386.96,173.37,49134.13282390088
t157,47563.22148163687,2273.36,1364.016,170.502,47563.22148163687
t158,47359.94041860887,2250.12,1350.0720000000001,168.75900000000001,47359.94041860887
t159,47592.044854020874,2260.08,1356.048,169.506,47592.044854020874
t160,49477.050788296874,2340.92,1404.5520000000001,175.56900000000002,49477.050788296874
t161,51707.61883887688,2436.56,1461.936,182.742,51707.61883887688
t162,52332.29755400087,2463.36,1478.016,184.752,52332.29755400087
t163,52689.74595739687,2464.16,1478.496,184.812,52689.74595739687
t164,50854.795936196875,2414.6,1448.76,181.095,50854.795936196875
t165,49698.67597035488,2335.96,1401.576,175.197,49698.67597035488
t166,46627.50060772288,2233.4,1340.04,167.505,46627.50060772288
t167,44493.84640661288,2127.4,1276.44,159.555,44493.84640661288
t168,40769.89476741687,1967.76,1180.656,147.582,40769.89476741687
t169,39225.28999797688,1806.32,0.0,0.0,39225.28999797688
t170,36399.54999797688,0.0,0.0,0.0,36399.54999797688
t171,28219.18338259287,1342.3600000000001,805.416,100.677,28219.18338259287
t172,26603.546997976875,1288.3600000000001,773.016,96.627,26603.546997976875
t173,28997.596885824874,0.0,0.0,0.0,28997.596885824874
t174,29938.453997976878,1373.1200000000001,823.8720000000001,102.98400000000001,29938.453997976878
t175,39033.605768688874,1760.76,1056.4560000000001,132.05700000000002,39033.605768688874
t176,52170.85677500088,0.0,0.0,0.0,52170.85677500088
t177,54447.412532296876,0.0,1385.256,173.157,54447.412532296876
t178,56034.825532296876,0.0,0.0,0.0,56034.825532296876
t179,52265.00953229688,2306.76,1384.056,0.0,52265.00953229688
t180,54411.70553229687,0.0,1380.1200000000001,0.0,54411.70553229687
t181,55032.85677500088,0.0,0.0,0.0,55032.85677500088
t182,54545.60077500088,0.0,0.0,170.256,54545.60077500088
t183,53060.26077500088,2302.88,0.0,172.716,53060.26077500088
t184,58330.825532296876,0.0,0.0,0.0,58330.825532296876
t185,56241.33753229687,2513.76,1508.256,188.532,56241.33753229687
t186,60222.89677500088,0.0,1530.96,0.0,60222.89677500088
t187,59456.848775000886,2570.2400000000002,0.0,192.768,59456.848775000886
t188,59168.47577500088,0.0,1509.672,188.709,59168.47577500088
t189,55916.408532296875,2408.76,0.0,180.657,55916.408532296875
t190,55005.85677500088,0.0,0.0,0.0,55005.85677500088
t191,48291.308775000885,0.0,1241.376,155.172,48291.308775000885
t192,33530.749775000884,1524.84,914.904,114.363,33530.749775000884
t193,26236.317775000876,0.0,697.368,87.171,26236.317775000876
t194,21772.126532296876,0.0,579.288,72.411,21772.126532296876
t195,20769.856775000873,0.0,0.0,0.0,20769.856775000873
t196,23866.825532296876,0.0,0.0,0.0,23866.825532296876
t197,29295.080532296874,1329.4,797.64,99.705,29295.080532296874
t198,40983.85677500088,0.0,0.0,0.0,40983.85677500088
t199,51083.825532296876,0.0,0.0,0.0,51083.825532296876
t200,57749.96953229688,2541.16,1524.6960000000001,0.0,57749.96953229688
t201,64209.91677500088,0.0,0.0,0.0,64209.91677500088
t202,60328.77877500088,2663.44,0.0,199.758,60328.77877500088
t203,63614.885532296874,0.0,0.0,0.0,63614.885532296874
t204,63474.673532296874,0.0,0.0,196.15200000000002,63474.673532296874
t205,62986.825532296876,0.0,0.0,0.0,62986.825532296876
t206,58229.27653229688,2569.88,1541.928,192.741,58229.27653229688
t207,62685.04953229688,0.0,0.0,193.776,62685.04953229688
t208,60366.976775000876,2666.8,1600.08,0.0,60366.976775000876
t209,65248.752775000874,0.0,1659.6480000000001,207.45600000000002,65248.752775000874
t210,68047.91253229688,0.0,0.0,209.913,68047.91253229688
t211,65963.84053229688,0.0,1669.32,208.665,65963.84053229688
t212,65487.61653229687,0.0,0.0,202.209,65487.61653229687
t213,59904.425532296875,2567.4,0.0,0.0,59904.425532296875
t214,54190.16877500088,2410.56,1446.336,180.792,54190.16877500088
t215,52925.825532296876,0.0,0.0,0.0,52925.825532296876
t216,36490.376532296876,1637.88,982.7280000000001,122.84100000000001,36490.376532296876
t217,28329.926532296875,1255.72,0.0,94.179,28329.926532296875
t218,24288.825532296876,0.0,0.0,0.0,24288.825532296876
t219,21582.119532296874,973.6800000000001,0.0,73.026,21582.119532296874
t220,24509.916775000875,0.0,0.0,0.0,24509.916775000875
t221,30776.533775000877,1406.76,844.056,105.507,30776.533775000877
t222,40961.36953229688,1783.68,0.0,133.776,40961.36953229688
t223,51759.825532296876,0.0,0.0,0.0,51759.825532296876
t224,57296.12577500088,2543.7200000000003,1526.232,190.779,57296.12577500088
t225,64886.42553229688,0.0,0.0,200.4,64886.42553229688
t226,62727.22553229688,0.0,1584.6000000000001,0.0,62727.22553229688
t227,59000.86753229688,2602.96,1561.776,195.222,59000.86753229688
t228,58374.28153229688,2567.84,1540.704,0.0,58374.28153229688
t229,60905.421532296874,0.0,0.0,190.464,60905.421532296874
t230,60844.85677500088,0.0,0.0,0.0,60844.85677500088
t231,59854.37353229687,0.0,1518.624,189.828,59854.37353229687
t232,59279.83453229688,2614.92,1568.952,196.119,59279.83453229688
t233,61844.03353229687,2716.12,1629.672,0.0,61844.03353229687
t234,67076.83453229688,0.0,0.0,206.991,67076.83453229688
t235,67342.82553229688,0.0,0.0,0.0,67342.82553229688
t236,65729.82553229688,0.0,0.0,0.0,65729.82553229688
t237,59659.23553229688,2565.2000000000003,0.0,192.39000000000001,59659.23553229688
t238,54636.29353229687,2415.84,1449.5040000000001,181.18800000000002,54636.29353229687
t239,49251.01753229687,2184.96,1310.976,163.872,49251.01753229687
t240,36531.736775000885,1648.2,988.9200000000001,0.0,36531.736775000885
t241,28136.294532296877,1279.72,767.832,95.979,28136.294532296877
t242,23338.808532296876,1074.04,644.424,80.553,23338.808532296876
t243,21906.653532296878,1012.64,607.5840000000001,75.94800000000001,21906.653532296878
t244,24320.32453229688,1116.1200000000001,669.672,83.709,24320.32453229688
t245,31224.524532296877,1412.1200000000001,847.272,105.909,31224.524532296877
t246,41892.860775000874,0.0,1083.5520000000001,135.44400000000002,41892.860775000874
t247,52150.80677500088,0.0,0.0,163.05,52150.80677500088
t248,58283.440775000876,2577.76,1546.656,0.0,58283.440775000876
t249,60712.77177500088,2690.2000000000003,1614.1200000000001,201.76500000000001,60712.77177500088
t250,64460.85677500088,0.0,0.0,0.0,64460.85677500088
t251,59768.921532296874,2627.44,1576.464,0.0,59768.921532296874
t252,60016.69377500088,2593.64,0.0,194.523,60016.69377500088
t253,62102.85677500088,0.0,0.0,0.0,62102.85677500088
t254,61659.85677500088,0.0,0.0,0.0,61659.85677500088
t255,62197.85677500088,0.0,0.0,0.0,62197.85677500088
t256,64077.85677500088,0.0,0.0,0.0,64077.85677500088
t257,66164.85677500088,0.0,0.0,0.0,66164.85677500088
t258,62495.73477500088,2766.64,1659.984,207.498,62495.73477500088
t259,65332.430775000874,0.0,1661.712,207.714,65332.430775000874
t260,64000.99277500088,0.0,1623.864,0.0,64000.99277500088
t261,60988.08077500088,0.0,1549.776,0.0,60988.08077500088
t262,56179.12377500088,2433.2400000000002,0.0,182.493,56179.12377500088
t263,53215.85677500088,0.0,0.0,0.0,53215.85677500088
t264,40606.85677500088,0.0,0.0,0.0,40606.85677500088
t265,30942.718775000874,0.0,813.456,101.682,30942.718775000874
t266,27450.825532296876,0.0,0.0,0.0,27450.825532296876
t267,24551.230775000873,1111.28,0.0,83.346,24551.230775000873
t268,26424.088775000873,1220.16,732.096,91.512,26424.088775000873
t269,34405.45677500088,1518.4,0.0,0.0,34405.45677500088
t270,44224.168775000886,0.0,1141.056,142.632,44224.168775000886
t271,54376.85677500088,0.0,0.0,0.0,54376.85677500088
t272,59823.62277500088,2652.08,1591.248,198.906,59823.62277500088
t273,63518.45353229687,2796.64,1677.984,209.748,63518.45353229687
t274,66103.95253229688,0.0,1672.776,209.097,66103.95253229688
t275,66833.62577500088,0.0,0.0,207.231,66833.62577500088
t276,63443.71077500088,2736.88,0.0,205.266,63443.71077500088
t277,61556.35453229688,2712.52,1627.512,203.439,61556.35453229688
t278,60853.65477500088,2696.2400000000002,1617.7440000000001,202.21800000000002,60853.65477500088
t279,64070.449775000874,0.0,1630.584,203.823,64070.449775000874
t280,68048.85677500088,0.0,0.0,0.0,68048.85677500088
t281,66319.98553229688,2907.4,1744.44,0.0,66319.98553229688
t282,67651.91353229687,2964.32,1778.592,0.0,67651.91353229687
t283,70542.14477500088,0.0,1784.712,0.0,70542.14477500088
t284,66007.54677500088,2917.2000000000003,1750.32,218.79,66007.54677500088
t285,66274.09677500089,0.0,1679.76,0.0,66274.09677500089
t286,59302.35977500088,2658.84,1595.304,199.413,59302.35977500088
t287,54624.01377500089,2429.16,1457.496,182.187,54624.01377500089
t288,45868.85677500088,0.0,0.0,0.0,45868.85677500088
t289,34511.48353229687,1553.04,931.8240000000001,116.47800000000001,34511.48353229687
t290,29946.08953229688,1352.96,811.7760000000001,0.0,29946.08953229688
t291,28613.225532296878,1296.0,777.6,0.0,28613.225532296878
t292,31162.889532296875,1404.96,842.976,0.0,31162.889532296875
t293,37668.60477500089,1702.24,1021.344,127.668,37668.60477500089
t294,49186.40153229688,0.0,1255.488,156.936,49186.40153229688
t295,60028.825532296876,0.0,0.0,0.0,60028.825532296876
t296,70328.05153229687,0.0,0.0,216.774,70328.05153229687
t297,71633.51153229688,0.0,1809.1680000000001,226.14600000000002,71633.51153229688
t298,67665.95353229687,2964.92,1778.952,0.0,67665.95353229687
t299,67682.72353229688,2900.56,0.0,217.542,67682.72353229688
t300,67340.63553229687,0.0,1703.28,212.91,67340.63553229687
t301,67798.82553229688,0.0,0.0,0.0,67798.82553229688
t302,62090.96353229688,2735.44,1641.2640000000001,205.15800000000002,62090.96353229688
t303,62217.85153229687,2740.88,1644.528,205.566,62217.85153229687
t304,66010.02553229687,2821.8,0.0,0.0,66010.02553229687
t305,69101.56877500088,0.0,1749.288,0.0,69101.56877500088
t306,71955.15553229688,0.0,0.0,221.67000000000002,71955.15553229688
t307,67105.68777500089,2964.28,1778.568,222.321,67105.68777500089
t308,69353.28953229688,0.0,1747.536,0.0,69353.28953229688
t309,66115.62553229688,2826.2000000000003,0.0,0.0,66115.62553229688
t310,66017.82553229688,0.0,0.0,0.0,66017.82553229688
t311,59743.885532296874,0.0,0.0,0.0,59743.885532296874
t312,45336.425532296875,1960.4,0.0,0.0,45336.425532296875
t313,35623.46877500089,1614.56,968.736,121.092,35623.46877500089
t314,33527.885532296874,0.0,0.0,0.0,33527.885532296874
t315,32922.605532296875,0.0,0.0,104.22,32922.605532296875
t316,33601.082532296874,1476.04,0.0,110.703,33601.082532296874
t317,39943.69677500088,1749.16,0.0,0.0,39943.69677500088
t318,51419.289532296876,0.0,1306.536,0.0,51419.289532296876
t319,59198.825532296876,2538.0,0.0,0.0,59198.825532296876
t320,65704.02553229687,0.0,1657.8,0.0,65704.02553229687
t321,67984.82553229688,0.0,0.0,0.0,67984.82553229688
t322,66590.82553229688,0.0,0.0,0.0,66590.82553229688
t323,64738.825532296876,0.0,0.0,0.0,64738.825532296876
t324,58485.85153229688,2580.88,1548.528,193.566,58485.85153229688
t325,59482.68753229688,0.0,1509.4560000000001,188.68200000000002,59482.68753229688
t326,60137.825532296876,0.0,0.0,0.0,60137.825532296876
t327,57648.97677500088,2486.88,0.0,0.0,57648.97677500088
t328,58139.70853229687,2566.04,1539.624,192.453,58139.70853229687
t329,60766.103532296875,2678.64,1607.184,200.898,60766.103532296875
t330,66583.82553229688,0.0,0.0,0.0,66583.82553229688
t331,66795.85677500088,0.0,0.0,0.0,66795.85677500088
t332,61906.22953229688,2727.52,1636.512,204.564,61906.22953229688
t333,63166.425532296875,0.0,1595.4,0.0,63166.425532296875
t334,60792.79353229688,0.0,1537.032,0.0,60792.79353229688
t335,55666.58153229688,0.0,1415.328,176.916,55666.58153229688
t336,41467.313532296874,1845.32,1107.192,0.0,41467.313532296874
t337,32678.13853229688,1474.44,884.664,110.583,32678.13853229688
t338,28218.398532296877,1283.24,769.944,96.243,28218.398532296877
t339,27792.077532296873,0.0,727.7760000000001,90.97200000000001,27792.077532296873
t340,27664.19653229688,1259.48,755.688,94.461,27664.19653229688
t341,33012.99277500088,0.0,861.864,0.0,33012.99277500088
t342,38556.03853229687,1726.44,1035.864,129.483,38556.03853229687
t343,47733.02653229688,2119.88,1271.928,158.991,47733.02653229688
t344,61593.825532296876,0.0,0.0,0.0,61593.825532296876
t345,63655.825532296876,0.0,0.0,0.0,63655.825532296876
t346,57973.63453229688,2558.92,1535.352,191.919,57973.63453229688
t347,56729.94553229688,2505.6,1503.3600000000001,187.92000000000002,56729.94553229688
t348,55546.90153229688,2454.88,1472.928,184.116,55546.90153229688
t349,58450.825532296876,0.0,0.0,0.0,58450.825532296876
t350,55442.34553229687,2381.48,0.0,0.0,55442.34553229687
t351,54302.27953229688,2401.52,1440.912,180.114,54302.27953229688
t352,60625.247532296875,0.0,0.0,187.578,60625.247532296875
t353,61612.26553229688,2638.56,0.0,0.0,61612.26553229688
t354,65816.82553229688,0.0,0.0,0.0,65816.82553229688
t355,61998.59653229686,2731.48,1638.8880000000001,204.86100000000002,61998.59653229686
t356,61881.919532296866,2686.48,0.0,201.486,61881.919532296866
t357,58721.74977500088,2604.84,1562.904,195.363,58721.74977500088
t358,59149.921532296874,0.0,1501.248,187.656,59149.921532296874
t359,55312.825532296876,0.0,0.0,0.0,55312.825532296876
t360,40804.073775000885,0.0,1056.696,132.087,40804.073775000885
t361,31369.139532296875,1418.32,850.992,106.374,31369.139532296875
t362,27072.569532296875,1230.16,738.096,0.0,27072.569532296875
t363,25402.60453229688,1162.52,697.5120000000001,87.18900000000001,25402.60453229688
t364,27283.532532296875,1243.16,745.8960000000001,93.23700000000001,27283.532532296875
t365,35041.825532296876,0.0,0.0,0.0,35041.825532296876
t366,40714.993532296874,1801.76,0.0,135.132,40714.993532296874
t367,49062.55153229688,2176.88,1306.128,163.266,49062.55153229688
t368,63203.48953229687,0.0,0.0,195.336,63203.48953229687
t369,67078.82553229688,0.0,0.0,0.0,67078.82553229688
t370,64238.92553229687,0.0,1643.52,205.44,64238.92553229687
t371,64177.412532296876,0.0,1625.256,203.157,64177.412532296876
t372,65103.825532296876,0.0,0.0,0.0,65103.825532296876
t373,59881.61953229687,2640.7200000000003,1584.432,198.054,59881.61953229687
t374,59318.08753229688,2616.56,1569.936,196.242,59318.08753229688
t375,63943.825532296876,0.0,0.0,0.0,63943.825532296876
t376,65798.82553229688,0.0,0.0,0.0,65798.82553229688
t377,67517.50853229688,0.0,0.0,208.317,67517.50853229688
t378,63780.626532296876,2807.88,1684.728,210.591,63780.626532296876
t379,66232.38853229687,0.0,1675.944,209.493,66232.38853229687
t380,65975.82553229688,0.0,0.0,0.0,65975.82553229688
t381,60195.30553229688,2579.52,0.0,0.0,60195.30553229688
t382,58769.825532296876,0.0,0.0,0.0,58769.825532296876
t383,48643.63453229688,2158.92,1295.352,161.919,48643.63453229688
t384,38932.825532296876,0.0,0.0,0.0,38932.825532296876
t385,29794.825532296876,0.0,0.0,0.0,29794.825532296876
t386,23282.345532296877,1041.48,0.0,0.0,23282.345532296877
t387,21706.985532296876,975.84,0.0,0.0,21706.985532296876
t388,24058.025532296877,1073.8,0.0,0.0,24058.025532296877
t389,30375.713532296875,1371.32,822.792,0.0,30375.713532296875
t390,41917.825532296876,0.0,0.0,0.0,41917.825532296876
t391,51180.825532296876,0.0,0.0,0.0,51180.825532296876
t392,61420.853532296875,0.0,0.0,189.972,61420.853532296875
t393,61303.02553229687,2693.0,1615.8,0.0,61303.02553229687
t394,65483.825532296876,0.0,0.0,0.0,65483.825532296876
t395,64802.677532296875,0.0,0.0,200.148,64802.677532296875
t396,62662.45153229687,0.0,1587.888,198.486,62662.45153229687
t397,63523.85677500088,0.0,0.0,0.0,63523.85677500088
t398,63197.825532296876,0.0,0.0,0.0,63197.825532296876
t399,60666.95653229688,2607.32,0.0,195.549,60666.95653229688
t400,65044.94853229688,0.0,0.0,200.877,65044.94853229688
t401,62740.331532296885,2763.28,1657.968,207.246,62740.331532296885
t402,68606.82553229688,0.0,0.0,0.0,68606.82553229688
t403,68604.82553229688,0.0,0.0,0.0,68604.82553229688
t404,63514.76553229687,2746.12,0.0,0.0,63514.76553229687
t405,61216.745532296874,2622.08,0.0,0.0,61216.745532296874
t406,56071.72153229688,2469.44,1481.664,0.0,56071.72153229688
t407,52302.92053229688,0.0,1332.3600000000001,166.54500000000002,52302.92053229688
t408,38202.431532296876,1711.28,1026.768,128.346,38202.431532296876
t409,31425.259532296877,0.0,817.392,102.174,31425.259532296877
t410,25382.078532296877,1161.64,696.984,87.123,25382.078532296877
t411,25875.825532296876,0.0,0.0,0.0,25875.825532296876
t412,27310.721532296877,1213.1200000000001,0.0,90.98400000000001,27310.721532296877
t413,36186.825532296876,0.0,0.0,0.0,36186.825532296876
t414,44795.25253229688,0.0,1147.176,143.397,44795.25253229688
