,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1632,607.313284128,0.0,-0.0,0,-0.0,0.0,31305.380248168876,0,0,-33366
t1633,259.868,0.0,-0.0,0,-0.0,0.0,23313.825532296876,0,0,-25027
t1634,607.313284128,0.0,-0.0,0,-0.0,859.7850000000001,17074.595248168876,0,0,-19995
t1635,607.313284128,0.0,-0.0,0,-0.0,0.0,15904.380248168874,0,0,-17965
t1636,607.313284128,0.0,-0.0,0,-0.0,513.135,16431.245248168878,0,0,-19005
t1637,259.868,0.0,-0.0,0,-0.0,1535.7069999999999,19672.118532296878,0,0,-22921
t1638,607.313284128,0.0,-0.0,0,-0.0,0.0,27039.380248168876,0,0,-29100
t1639,607.313284128,0.0,-0.0,0,-0.0,0.0,35620.380248168876,0,0,-37681
t1640,607.313284128,0.0,-0.0,0,-0.0,0.0,45836.380248168876,0,0,-47897
t1641,259.868,0.0,-0.0,0,-0.0,0.0,55872.825532296876,0,0,-57586
t1642,607.313284128,0.0,-0.0,0,-0.0,0.0,57418.380248168876,0,0,-59479
t1643,607.313284128,0.0,-0.0,0,-0.0,0.0,56636.380248168876,0,0,-58697
t1644,607.313284128,0.0,-0.0,0,-0.0,0.0,55544.380248168876,0,0,-57605
t1645,938.808,0.0,-0.0,0,-0.0,2260.04,51848.84553229687,0,0,-56501
t1646,607.313284128,0.0,-0.0,0,-0.0,3730.225,49884.15524816888,0,0,-55675
t1647,607.313284128,0.0,-0.0,0,-0.0,2382.4150000000004,50961.96524816888,0,0,-55405
t1648,607.313284128,0.0,-0.0,0,-0.0,3735.451,49956.929248168875,0,0,-55753
t1649,259.868,0.0,-0.0,0,-0.0,2473.2309999999998,53330.59453229688,0,0,-57517
t1650,607.313284128,0.0,-0.0,0,-0.0,4001.7090000000003,53664.67124816888,0,0,-59727
t1651,607.313284128,0.0,-0.0,0,-0.0,1623.726,56453.65424816888,0,0,-60138
t1652,607.313284128,0.0,-0.0,0,-0.0,0.0,57528.380248168876,0,0,-59589
t1653,259.868,0.0,-0.0,0,-0.0,3691.456,52274.36953229687,0,0,-57679
t1654,607.313284128,0.0,-0.0,0,-0.0,1474.929,51091.45124816887,0,0,-54627
t1655,259.868,0.0,-0.0,0,-0.0,0.0,44534.825532296876,0,0,-46248
t1656,607.313284128,0.0,-0.0,0,-0.0,2183.8720000000003,29878.50824816888,0,0,-34123
t1657,259.868,0.0,-0.0,0,-0.0,1041.9759999999999,21476.849532296877,0,0,-24232
t1658,607.313284128,0.0,-0.0,0,-0.0,791.028,15544.352248168878,0,0,-18396
t1659,607.313284128,0.0,-0.0,0,-0.0,445.527,13994.853248168876,0,0,-16501
t1660,607.313284128,0.0,-0.0,0,-0.0,691.4,14532.980248168875,0,0,-17285
t1661,259.868,0.0,-0.0,0,-0.0,0.0,19239.825532296876,0,0,-20953
t1662,607.313284128,0.0,-0.0,0,-0.0,1789.101,22853.279248168878,0,0,-26703
t1663,607.313284128,0.0,-0.0,0,-0.0,0.0,32395.380248168876,0,0,-34456
t1664,607.313284128,0.0,-0.0,0,-0.0,0.0,41904.380248168876,0,0,-43965
t1665,259.868,0.0,-0.0,0,-0.0,2122.7200000000003,49232.105532296875,0,0,-53068
t1666,607.313284128,0.0,-0.0,0,-0.0,0.0,53083.380248168876,0,0,-55144
