Resource,Zone,StartCap,RetCap,NewCap,EndCap
NGCT,1,954.0,0.0,8.95166258591189,962.9516625859119
NGST,1,528.0,0.0,0.0,528.0
Adsorber,1,442.0,352.90446221569016,0.0,89.09553778430984
Compressor,1,42.7,41.27046028625892,0.0,1.429539713741086
Regenerator,1,552.0,533.5307757495239,0.0,18.469224250476145
Rich,1,6122.0,5530.0109918242,0.0,591.9890081758003
Lean,1,6122.0,5530.0109918242,0.0,591.9890081758003
BOP,1,1482.0,0.0,8.95166258591189,1490.951662585912
Total,n/a,16244.7,11987.727681899873,17.90332517182378,4274.875643271951
