,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.870296697365098e8,0.0,0.0,0.0,0.0,573151.1515811404,33889.95278891275,0.0,0.0,-4.90597226e8
t1,43891.001713675425,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-44187
t2,39748.21336239828,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-40044
t3,36238.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-36535
t4,34379.00171367487,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-34675
t5,32179.001713675425,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-32475
t6,32164.63665984457,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-32460
t7,41269.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-41566
t8,50918.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-51215
t9,53409.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-53706
t10,53807.00171367514,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-54103
t11,54148.21336239799,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-54444
t12,54153.79006495198,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-54450
t13,53771.60026320522,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-54063
t14,53419.60026320522,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-53711
t15,54094.60026320522,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-54386
t16,56355.60026320523,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-56647
t17,58874.79006495197,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-59171
t18,60120.79006495197,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-60417
t19,60685.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-60982
t20,59655.79006495199,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-59952
t21,57948.79006495197,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-58245
t22,55503.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-55800
t23,53135.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-53432
t24,50709.79006495198,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-51006
t25,48995.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-49292
t26,48485.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-48782
t27,48669.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-48966
t28,48039.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-48336
t29,48810.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-49107
t30,50974.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-51271
t31,55680.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-55977
t32,61187.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-61484
t33,63526.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-63823
t34,64094.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64391
t35,63991.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64288
t36,63434.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-63731
t37,62666.790064952016,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-62963
t38,62195.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-62492
t39,63095.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-63392
t40,66320.79006495199,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-66617
t41,69626.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-69923
t42,71370.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-71667
t43,71681.79006495203,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-71978
t44,68247.92505235807,0.0,-0.0,0,-0.0,1065.6544424822982,0.0,0,0,-70774
t45,64949.87755954871,0.0,-0.0,0,-0.0,1833.7019352916436,0.0,0,0,-68244
t46,64771.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-65068
t47,60366.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-60663
t48,47735.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-48032
t49,38098.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-38395
t50,33003.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-33300
t51,31695.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-31992
t52,34818.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-35115
t53,43504.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-43801
t54,55422.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-55719
t55,65274.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-65571
t56,71743.80045908161,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-72890
t57,72861.5521313095,0.0,-0.0,0,-0.0,240.02736353088434,0.0,0,0,-74562
t58,73059.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-73356
t59,71716.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-72013
t60,70539.79006495203,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-70836
t61,69394.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-69691
t62,68605.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-68902
t63,69314.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-69611
t64,72615.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-72912
t65,76187.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-76484
t66,78101.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-78398
t67,78593.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-78890
t68,73900.37549484035,0.0,-0.0,0,-0.0,2091.2039999999997,0.0,0,0,-77452
t69,68293.59100069175,0.0,-0.0,0,-0.0,4745.988494148618,0.0,0,0,-74500
t70,69783.90614543068,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-70900
t71,66182.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-66479
t72,55926.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-56223
t73,44833.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-45130
t74,39518.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-39815
t75,37962.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-38259
t76,39864.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-40161
t77,54830.790064951965,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-55127
t78,65705.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-66002
t79,70896.79006495203,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-71193
t80,70638.88299110813,0.0,-0.0,0,-0.0,3795.696503732232,0.0,0,0,-75895
t81,70975.53749484035,0.0,-0.0,0,-0.0,2010.042,0.0,0,0,-74446
t82,70563.48178366736,0.0,-0.0,0,-0.0,131.09771117301625,0.0,0,0,-72155
t83,69764.79006495194,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-70061
t84,68050.79006495203,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-68347
t85,66645.79006495197,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-66942
t86,65921.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-66218
t87,66527.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-66824
t88,69225.60026320524,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-69517
t89,72244.34856918658,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-72539
t90,73583.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-73880
t91,73762.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-74059
t92,71518.28742281884,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-72422
t93,65648.28580871585,0.0,-0.0,0,-0.0,2065.2936861245134,0.0,0,0,-69174
t94,65077.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-65374
t95,61612.790064951965,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-61909
t96,58060.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-58357
t97,54658.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-54955
t98,53789.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-54086
t99,54332.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-54629
t100,55501.79006495197,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-55798
t101,62945.79006495197,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-63242
t102,67483.87399207038,0.0,-0.0,0,-0.0,505.70550276997676,0.0,0,0,-69450
t103,67224.62249484037,0.0,-0.0,0,-0.0,1905.9569999999999,0.0,0,0,-70591
t104,67161.37749484037,0.0,-0.0,0,-0.0,1904.202,0.0,0,0,-70526
t105,67289.70849484038,0.0,-0.0,0,-0.0,206.871,0.0,0,0,-68957
t106,66797.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-67094
t107,65187.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-65484
t108,63968.79006495199,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64265
t109,62889.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-63186
t110,62099.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-62396
t111,62490.79006495199,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-62787
t112,64872.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-65169
t113,67767.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-68064
t114,69211.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-69508
t115,69525.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-69822
t116,68070.79006495202,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-68367
t117,65168.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-65465
t118,61568.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-61865
t119,57625.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-57922
t120,49403.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-49700
t121,41610.79006495199,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-41907
t122,34405.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-34702
t123,29113.79006495201,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-29410
t124,31864.790064952005,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-32161
t125,40552.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-40849
t126,48943.790064952016,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-49240
t127,57141.79006495199,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-57438
t128,65036.790064951994,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-65333
t129,65807.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-66104
t130,64328.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-64625
t131,62906.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-63203
t132,61846.790064952,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-62143
