Resource,Zone,StartCap,RetCap,NewCap,EndCap
NGCT,1,954.0,954.0,0.0,0.0
NGST,1,528.0,528.0,0.0,0.0
PCC,1,442.0,442.0,0.0,0.0
Compressor,1,42.7,42.7,0.0,0.0
BOP,1,1482.0,1482.0,0.0,0.0
Total,n/a,3448.7,3448.7,0.0,0.0
