,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t95,15421.228714569743,0.0,-319.73345456974096,0.0,-0.0,0.0,0.0,0.0,0.0,-15101.49526
t96,13581.561876222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13896.71988
t97,13106.93237,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13106.93237
t98,12887.51235758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12544.94931
t99,11954.906456524554,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12244.85182
t100,12216.23809,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12216.23809
t101,12924.360527584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12581.79748
t102,13517.165331094293,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-13487.37724
t103,15009.79278589957,157.0328008424201,-185.5302467419897,0.0,-0.0,0.0,0.0,0.0,0.0,-14981.29534
t104,15392.239156222346,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15707.39716
t105,16109.05298,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16109.05298
t106,16408.79259,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16408.79259
t107,16563.32709,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16563.32709
t108,16707.97456,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16707.97456
t109,17058.41954758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16715.8565
t110,16749.46381,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16749.46381
t111,16393.466836524556,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16683.4122
t112,16565.53427,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16565.53427
t113,16679.08425,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16679.08425
t114,18137.28135,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18137.28135
t115,18320.80885,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18320.80885
t116,18188.808627584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17846.24558
t117,17003.22833682677,264.7327231732319,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17267.96106
t118,16787.58103758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16445.01799
t119,14828.969506222344,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15144.12751
t120,13924.39336,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13924.39336
t121,13132.07046,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13132.07046
t122,12578.54365,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12578.54365
t123,12278.916550000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12278.91655
t124,12235.41726,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12235.41726
t125,12559.77622,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12559.77622
t126,13480.97613,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13480.97613
t127,14949.623899999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14949.6239
t128,15739.63617,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15739.63617
t129,16150.091610000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16150.091610000001
t130,16314.86752,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16314.86752
t131,16460.25064,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16460.25064
t132,16459.33972,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16459.33972
t133,16663.54088758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16320.977840000001
t134,15991.288896826767,264.7327231732319,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16256.021619999998
t135,16452.19738758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16109.634339999999
t136,15953.01322,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15953.01322
t137,15851.462036222343,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16166.620040000002
t138,18038.371377584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17695.80833
t139,17519.990976524557,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17809.93634
t140,17349.55471,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17349.55471
t141,16877.94296,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16877.94296
t142,16437.20571758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16094.64267
t143,15056.63417,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15056.63417
t144,13765.772436524554,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14055.7178
t145,13259.237599999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13259.2376
t146,12672.97576,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12672.97576
t147,12301.287140000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12301.28714
t148,12176.337961094297,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-12146.54987
t149,12223.233530000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12223.23353
t150,12937.69393758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12595.13089
t151,13203.268430000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13203.26843
t152,13557.57003,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13557.57003
t153,13716.594386222343,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14031.75239
t154,14855.993977584412,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-14513.43093
t155,14381.324587618852,289.9453634754445,-29.788091094296586,0.0,-0.0,0.0,0.0,0.0,0.0,-14641.48186
