Resource,biomass,conventional_hydroelectric,conventional_steam_coal1,conventional_steam_coal2,conventional_steam_coal3,conventional_steam_coal4,conventional_steam_coal5,conventional_steam_coal6,conventional_steam_coal7,conventional_steam_coal8,conventional_steam_coal9,conventional_steam_coal10,conventional_steam_coal11,conventional_steam_coal12,conventional_steam_coal13,conventional_steam_coal14,conventional_steam_coal15,geothermal,hydroelectric_pumped_storage,natural_gas_fired_combined_cycle1,natural_gas_fired_combined_cycle2,natural_gas_fired_combined_cycle3,natural_gas_fired_combined_cycle4,natural_gas_fired_combined_cycle5,natural_gas_fired_combined_cycle6,natural_gas_fired_combustion_turbine1,natural_gas_fired_combustion_turbine2,natural_gas_fired_combustion_turbine3,natural_gas_fired_combustion_turbine4,natural_gas_fired_combustion_turbine5,natural_gas_steam_turbine1,natural_gas_steam_turbine2,nuclear,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,naturalgas_ccavgcf_mid,naturalgas_ctavgcf_mid,battery_mid,nuclear_mid,naturalgas_ccs100_mid,landbasedwind_ltrg1_mid_40_1,landbasedwind_ltrg1_mid_40_2,landbasedwind_ltrg1_mid_40_3,landbasedwind_ltrg1_mid_40_4,landbasedwind_ltrg1_mid_40_5,landbasedwind_ltrg1_mid_40_6,landbasedwind_ltrg1_mid_40_7,landbasedwind_ltrg1_mid_40_8,landbasedwind_ltrg1_mid_40_9,landbasedwind_ltrg1_mid_40_10,landbasedwind_ltrg1_mid_40_11,landbasedwind_ltrg1_mid_40_12,landbasedwind_ltrg1_mid_40_13,landbasedwind_ltrg1_mid_40_14,landbasedwind_ltrg1_mid_40_15,utilitypv_losangeles_mid_0_2_1,utilitypv_losangeles_mid_0_2_2,utilitypv_losangeles_mid_0_2_3,utilitypv_losangeles_mid_0_2_4,utilitypv_losangeles_mid_0_2_5,utilitypv_losangeles_mid_0_2_6,utilitypv_losangeles_mid_0_2_7,utilitypv_losangeles_mid_0_2_8,utilitypv_losangeles_mid_0_2_9,utilitypv_losangeles_mid_0_2_10,utilitypv_losangeles_mid_0_2_11,utilitypv_losangeles_mid_0_2_12,utilitypv_losangeles_mid_0_2_13,utilitypv_losangeles_mid_0_2_14,utilitypv_losangeles_mid_0_2_15,Total
t9,0.0,-27.392466886666625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,1313.0921894138046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23842.91551069777
t10,0.0,-705.7995807866669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,373.5717962241797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22224.988003608145
t11,0.0,-26.500372446666915,63.26200000000017,0.0,0.0,0.0,226.16400000000021,0.0,1.2180000000000746,179.2560000000003,0.0,0.0,0.0,0.0,85.36200000000008,10.008000000000038,12.0,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,10367.412034160847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33475.39744988481
t12,120.132,202.26897861999942,830.482,132.552,424.346,0.0,1597.5839999999998,1327.75,348.348,1395.636,672.592,1597.14,0.0,921.024,678.732,326.928,225.75,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45182.5538563612
t13,120.132,881.78153772,830.482,132.552,424.346,0.0,1597.5839999999998,1327.75,348.348,1395.636,672.592,1597.14,0.0,921.024,678.732,326.928,225.75,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45862.0664154612
t14,120.132,1561.04655366,830.482,132.552,424.346,0.0,1597.5839999999998,1327.75,348.348,1395.636,672.592,1597.14,0.0,921.024,678.732,326.928,225.75,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.98817580932274,0.0,1151.0633790955394,0.0,0.0,0.0,3070.934877493,511.102983694,0.0,0.0,0.0,0.0,0.0,51658.42084749306
t15,120.132,882.3357981599997,830.482,132.552,424.346,0.0,1597.5839999999998,1327.75,348.348,1395.636,672.592,1597.14,0.0,921.024,678.732,326.928,225.75,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1707.028386243886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47569.64906214509
t16,120.132,204.00450468000008,830.482,132.552,424.346,0.0,1597.5839999999998,1327.75,348.348,1395.636,672.592,1597.14,0.0,921.024,678.732,326.928,225.75,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.1543772992736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45531.443759720474
t17,120.132,883.2041215200002,830.482,132.552,424.346,0.0,1597.5839999999998,1327.75,348.348,1395.636,672.592,1597.14,0.0,921.024,678.732,326.928,225.75,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45863.4889992612
t18,120.132,678.3590155000002,830.482,132.552,424.346,0.0,1597.5839999999998,1327.75,348.348,1395.636,672.592,1597.14,0.0,921.024,678.732,326.928,225.75,0.0,2561.0,0.0,7682.698,1206.255,6166.2789999999995,0.0,0.0,143.936,4.547473508864641e-13,0.0,-2.2737367544323206e-13,0.0,110.262,237.0,0.0,0.0,0.0,0.0,4449.785788170634,0.0,11824.073089570571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1555.1911903169598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47213.83508355816
