Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
landbasedwind_ltrg1_mid_40_11,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
landbasedwind_ltrg1_mid_40_12,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
landbasedwind_ltrg1_mid_40_13,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
landbasedwind_ltrg1_mid_40_14,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
landbasedwind_ltrg1_mid_40_15,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_1,1,0,0.0,3216.4787367514946,3216.4787367514946,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_2,1,0,0.0,4284.0,4284.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_3,1,0,0.0,461.57218781499023,461.57218781499023,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_4,1,0,0.0,3892.0,3892.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_5,1,0,0.0,4064.0,4064.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_6,1,0,0.0,7870.0,7870.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_7,1,0,0.0,1226.3898200031344,1226.3898200031344,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_8,1,0,0.0,5821.0,5821.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_9,1,0,0.0,4123.0,4123.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_10,1,0,0.0,622.0,622.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_11,1,0,0.0,3386.0,3386.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_12,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_13,1,0,0.0,109.45358050900995,109.45358050900995,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_14,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
utilitypv_losangeles_mid_0_2_15,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Total,n/a,102800,27411.0,56462.199649862494,131851.19964986248,0,0.0,43192.370410951284,43192.370410951284,0,0.0,0.0,0.0
