,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t66,76942.73678736045,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-78398
t67,77434.73678736047,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-78890
t68,67910.57403947148,8086.162747888951,-0.0,0,-0.0,0.0,0.0,0,0,-77452
t69,61303.75389517096,11740.98289218948,-0.0,0,-0.0,0.0,0.0,0,0,-74500
t70,63026.850136963956,6417.886650396475,-0.0,0,-0.0,0.0,0.0,0,0,-70900
t71,62665.651360085954,2358.0854272744837,-0.0,0,-0.0,0.0,0.0,0,0,-66479
t72,54767.736787360445,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-56223
t73,46933.52022940763,0.0,-3258.783442047188,0,-0.0,0.0,0.0,0,0,-45130
t74,48758.68893416719,0.0,-10398.952146806747,0,-0.0,0.0,0.0,0,0,-39815
t75,48627.809876931016,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-38259
t76,47017.7817452183,0.0,-8312.044957857855,0,-0.0,0.0,0.0,0,0,-40161
t77,53671.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-55127
t78,62998.42563251729,1548.3111548431552,-0.0,0,-0.0,0.0,0.0,0,0,-66002
t79,62442.302170060284,7295.434617300154,-0.0,0,-0.0,0.0,0.0,0,0,-71193
t80,62691.62865222629,11748.108135134149,-0.0,0,-0.0,0.0,0.0,0,0,-75895
t81,62243.26311157029,10747.473675790141,-0.0,0,-0.0,0.0,0.0,0,0,-74446
t82,62302.08359235286,8397.653195007586,-0.0,0,-0.0,0.0,0.0,0,0,-72155
t83,68605.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-70061
t84,68193.29252110116,0.0,-137.34516362906848,0,-0.0,0.0,0.0,0,0,-68347
t85,74020.5426943272,0.0,-7369.595336855116,0,-0.0,0.0,0.0,0,0,-66942
t86,77751.02044704267,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-66218
t87,78357.02044704265,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-66824
t88,81050.02044704265,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-69517
t89,74976.5228330231,0.0,-2728.5754755509997,0,-0.0,0.0,0.0,0,0,-72539
t90,74829.44082028093,0.0,-1240.4934628088376,0,-0.0,0.0,0.0,0,0,-73880
t91,72603.73678736042,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-74059
t92,67323.79671278557,3642.940074574879,-0.0,0,-0.0,0.0,0.0,0,0,-72422
t93,59556.841429323285,8161.895358037153,-0.0,0,-0.0,0.0,0.0,0,0,-69174
t94,60420.974121375286,3497.762665985152,-0.0,0,-0.0,0.0,0.0,0,0,-65374
t95,59943.97138788529,509.7653994751454,-0.0,0,-0.0,0.0,0.0,0,0,-61909
t96,58768.55963301329,0.0,-1866.8228456528486,0,-0.0,0.0,0.0,0,0,-58357
t97,53674.146841666705,0.0,-174.41005430625228,0,-0.0,0.0,0.0,0,0,-54955
t98,58706.594443956295,0.0,-6075.857656595854,0,-0.0,0.0,0.0,0,0,-54086
t99,58732.08497802029,0.0,-5558.34819065985,0,-0.0,0.0,0.0,0,0,-54629
t100,58149.14255241129,0.0,-3806.405765050851,0,-0.0,0.0,0.0,0,0,-55798
