Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,,193,12606.20416
,,,,,,,,194,12199.61918
,,,,,,,,195,12023.01486
,,,,,,,,196,12079.97127
,,,,,,,,197,12495.24494
,,,,,,,,198,13631.90953
,,,,,,,,199,15531.65709
,,,,,,,,200,16518.80132
,,,,,,,,201,16778.14644
,,,,,,,,202,16800.99706
,,,,,,,,203,16831.8706
,,,,,,,,204,16697.55847
,,,,,,,,205,16563.05639
,,,,,,,,206,16525.84583
,,,,,,,,207,16381.87227
,,,,,,,,208,16214.57137
,,,,,,,,209,16389.08267
,,,,,,,,210,18060.33777
,,,,,,,,211,18356.03977
,,,,,,,,212,17990.37981
,,,,,,,,213,17413.13676
,,,,,,,,214,16477.86715
,,,,,,,,215,15121.21604
,,,,,,,,216,13930.81382
,,,,,,,,217,13189.62977
,,,,,,,,218,12713.19524
,,,,,,,,219,12457.63625
,,,,,,,,220,12448.21541
,,,,,,,,221,12843.93141
,,,,,,,,222,13932.39235
,,,,,,,,223,15810.12151
,,,,,,,,224,16845.29985
,,,,,,,,225,16883.6359
,,,,,,,,226,16774.61645
,,,,,,,,227,16756.12779
,,,,,,,,228,16673.4751
,,,,,,,,229,16516.69126
,,,,,,,,230,16386.93348
,,,,,,,,231,16236.88576
,,,,,,,,232,16159.82633
,,,,,,,,233,16324.48356
,,,,,,,,234,18014.75652
,,,,,,,,235,18363.26391
,,,,,,,,236,18005.34145
,,,,,,,,237,17466.27888
,,,,,,,,238,16571.99862
,,,,,,,,239,15292.76065
,,,,,,,,240,14081.91144
,,,,,,,,241,13298.44531
,,,,,,,,242,12768.52478
,,,,,,,,243,12519.28532
,,,,,,,,244,12545.82274
,,,,,,,,245,12960.87172
,,,,,,,,246,14026.22041
,,,,,,,,247,15802.08155
,,,,,,,,248,16774.21004
,,,,,,,,249,16893.44904
,,,,,,,,250,16971.46208
,,,,,,,,251,16857.41062
,,,,,,,,252,16692.53164
,,,,,,,,253,16526.53118
,,,,,,,,254,16421.62988
,,,,,,,,255,16297.0837
,,,,,,,,256,16211.72921
,,,,,,,,257,16483.04904
,,,,,,,,258,18110.42688
,,,,,,,,259,18422.26837
,,,,,,,,260,18055.16742
,,,,,,,,261,17542.9092
,,,,,,,,262,16681.33329
,,,,,,,,263,15447.26574
,,,,,,,,264,14220.92368
,,,,,,,,265,13348.41528
,,,,,,,,266,12849.42006
,,,,,,,,267,12584.28182
,,,,,,,,268,12589.02321
,,,,,,,,269,12927.29808
,,,,,,,,270,13857.19152
,,,,,,,,271,15524.50228
,,,,,,,,272,16349.79203
,,,,,,,,273,16535.29012
,,,,,,,,274,16624.52199
,,,,,,,,275,16693.9531
,,,,,,,,276,16641.21171
,,,,,,,,277,16626.84527
,,,,,,,,278,16728.84372
,,,,,,,,279,16628.54941
,,,,,,,,280,16556.95393
,,,,,,,,281,16647.13098
,,,,,,,,282,17980.81915
,,,,,,,,283,18329.37606
,,,,,,,,284,17975.54744
,,,,,,,,285,17491.93839
,,,,,,,,286,16622.47406
,,,,,,,,287,15308.94194
,,,,,,,,288,14151.8797
,,,,,,,,289,13340.67801
,,,,,,,,290,12862.87757
,,,,,,,,291,12589.21341
,,,,,,,,292,12587.30408
,,,,,,,,293,12888.3646
,,,,,,,,294,13851.85296
,,,,,,,,295,15646.30324
,,,,,,,,296,16661.07717
,,,,,,,,297,16817.69214
,,,,,,,,298,16894.14429
,,,,,,,,299,16927.60435
,,,,,,,,300,16780.68101
,,,,,,,,301,16608.6417
,,,,,,,,302,16589.97956
,,,,,,,,303,16416.10784
,,,,,,,,304,16268.0313
,,,,,,,,305,16420.9228
,,,,,,,,306,17802.04688
,,,,,,,,307,18013.53096
,,,,,,,,308,17594.586
,,,,,,,,309,17111.5549
,,,,,,,,310,16335.12178
,,,,,,,,311,15212.47045
,,,,,,,,312,14085.77459
,,,,,,,,313,13215.28081
,,,,,,,,314,12693.24232
,,,,,,,,315,12374.48479
,,,,,,,,316,12272.93728
,,,,,,,,317,12421.60032
,,,,,,,,318,12865.84296
,,,,,,,,319,13611.23231
,,,,,,,,320,14126.73249
,,,,,,,,321,14795.03495
,,,,,,,,322,15217.25176
,,,,,,,,323,15369.16599
,,,,,,,,324,15247.04769
,,,,,,,,325,14981.33446
,,,,,,,,326,14753.71577
,,,,,,,,327,14526.37206
,,,,,,,,328,14473.61975
,,,,,,,,329,14806.07525
,,,,,,,,330,16460.19003
,,,,,,,,331,16997.93253
,,,,,,,,332,16716.51246
,,,,,,,,333,16358.02973
,,,,,,,,334,15703.9377
,,,,,,,,335,14760.53805
,,,,,,,,336,13748.46716
,,,,,,,,337,12974.08416
,,,,,,,,338,12458.24976
,,,,,,,,339,12132.97559
,,,,,,,,340,11999.59915
,,,,,,,,341,12012.13277
,,,,,,,,342,12304.98102
,,,,,,,,343,12856.54129
,,,,,,,,344,13226.50636
,,,,,,,,345,13866.02926
,,,,,,,,346,14335.69518
,,,,,,,,347,14463.72618
,,,,,,,,348,14342.17517
,,,,,,,,349,14267.96689
,,,,,,,,350,14172.07886
,,,,,,,,351,14047.23492
,,,,,,,,352,14200.10594
,,,,,,,,353,14819.2612
,,,,,,,,354,16592.11537
,,,,,,,,355,17063.93584
,,,,,,,,356,16786.08356
,,,,,,,,357,16380.73174
,,,,,,,,358,15655.41966
,,,,,,,,359,14620.49416
,,,,,,,,360,13539.10918
,,,,,,,,361,12625.48144
,,,,,,,,362,12130.2013
,,,,,,,,363,11910.92148
,,,,,,,,364,11921.253
,,,,,,,,365,12271.19939
,,,,,,,,366,13110.44565
,,,,,,,,367,14426.04851
,,,,,,,,368,15340.20824
,,,,,,,,369,16127.17306
,,,,,,,,370,16635.91893
,,,,,,,,371,16889.97982
,,,,,,,,372,16816.89922
,,,,,,,,373,16598.95923
,,,,,,,,374,16427.39676
,,,,,,,,375,16224.466
,,,,,,,,376,16170.03443
,,,,,,,,377,16583.24129
,,,,,,,,378,18402.3269
,,,,,,,,379,19012.2821
,,,,,,,,380,18794.74532
,,,,,,,,381,18259.27755
,,,,,,,,382,17247.83258
,,,,,,,,383,15787.44897
,,,,,,,,384,14467.04553
,,,,,,,,385,13521.58363
,,,,,,,,386,13005.65685
,,,,,,,,387,12744.46384
,,,,,,,,388,12774.68082
,,,,,,,,389,13209.26716
,,,,,,,,390,14371.69105
,,,,,,,,391,16256.10318
,,,,,,,,392,17283.2127
,,,,,,,,393,17407.65158
,,,,,,,,394,17307.74825
,,,,,,,,395,17142.50445
,,,,,,,,396,16881.60085
,,,,,,,,397,16576.39978
,,,,,,,,398,16395.87252
,,,,,,,,399,16215.53424
,,,,,,,,400,16149.95987
,,,,,,,,401,16567.37146
,,,,,,,,402,18412.22059
,,,,,,,,403,19042.37355
,,,,,,,,404,18843.11623
,,,,,,,,405,18338.43801
,,,,,,,,406,17283.14549
,,,,,,,,407,15797.27013
,,,,,,,,408,14480.86514
,,,,,,,,409,13546.546
,,,,,,,,410,13019.36131
,,,,,,,,411,12809.06455
,,,,,,,,412,12828.72316
,,,,,,,,413,13258.14536
,,,,,,,,414,14396.54407
,,,,,,,,415,16295.91506
,,,,,,,,416,17311.81698
,,,,,,,,417,17362.60779
,,,,,,,,418,17215.41908
,,,,,,,,419,17087.98779
,,,,,,,,420,16887.70724
,,,,,,,,421,16593.57593
,,,,,,,,422,16453.81782
,,,,,,,,423,16288.84763
,,,,,,,,424,16287.19077
,,,,,,,,425,16542.4062
,,,,,,,,426,18121.46639
,,,,,,,,427,18786.1244
,,,,,,,,428,18541.24826
,,,,,,,,429,18080.56366
,,,,,,,,430,17121.90677
,,,,,,,,431,15666.6189
,,,,,,,,432,14305.51519
,,,,,,,,433,13413.34166
,,,,,,,,434,12908.44073
,,,,,,,,435,12671.96497
,,,,,,,,436,12701.71119
,,,,,,,,437,13102.4798
,,,,,,,,438,14174.63722
,,,,,,,,439,16066.96655
,,,,,,,,440,17127.34056
,,,,,,,,441,17208.58426
,,,,,,,,442,17278.39054
,,,,,,,,443,17284.68156
,,,,,,,,444,17206.24833
,,,,,,,,445,17033.2783
,,,,,,,,446,16933.01949
,,,,,,,,447,16768.02736
,,,,,,,,448,16711.77759
,,,,,,,,449,17000.26372
,,,,,,,,450,18425.71061
,,,,,,,,451,18809.31035
,,,,,,,,452,18492.19355
,,,,,,,,453,17950.7791
,,,,,,,,454,16934.93101
,,,,,,,,455,15476.71901
,,,,,,,,456,14111.29855
,,,,,,,,457,13159.47202
,,,,,,,,458,12654.19642
,,,,,,,,459,12360.51636
,,,,,,,,460,12299.69676
,,,,,,,,461,12605.94492
,,,,,,,,462,13625.14646
,,,,,,,,463,15325.14759
,,,,,,,,464,16398.69813
,,,,,,,,465,16714.48465
,,,,,,,,466,16857.74539
,,,,,,,,467,16931.90562
,,,,,,,,468,16867.76266
,,,,,,,,469,16713.28648
,,,,,,,,470,16600.8479
,,,,,,,,471,16383.4222
,,,,,,,,472,16280.10278
,,,,,,,,473,16562.50341
,,,,,,,,474,17844.56589
,,,,,,,,475,18067.86672
,,,,,,,,476,17664.30036
,,,,,,,,477,17114.7162
,,,,,,,,478,16318.29149
,,,,,,,,479,15209.3
,,,,,,,,480,13953.23002
,,,,,,,,481,13091.68086
,,,,,,,,482,12484.59732
,,,,,,,,483,12088.93934
,,,,,,,,484,11875.53441
,,,,,,,,485,11907.54858
,,,,,,,,486,12240.68535
,,,,,,,,487,12871.59136
,,,,,,,,488,13420.94098
,,,,,,,,489,14243.0672
,,,,,,,,490,14871.35382
,,,,,,,,491,15149.04112
,,,,,,,,492,15130.19189
,,,,,,,,493,14850.24095
,,,,,,,,494,14459.01796
,,,,,,,,495,14247.10872
,,,,,,,,496,14211.90105
,,,,,,,,497,14624.54125
,,,,,,,,498,16167.78391
,,,,,,,,499,16793.57526
,,,,,,,,500,16627.61336
,,,,,,,,501,16262.40736
,,,,,,,,502,15650.38436
,,,,,,,,503,14743.12254
,,,,,,,,504,13692.89789
,,,,,,,,505,12858.96769
,,,,,,,,506,12280.83003
,,,,,,,,507,11964.88545
,,,,,,,,508,11817.96547
,,,,,,,,509,11851.79075
,,,,,,,,510,12117.11072
,,,,,,,,511,12611.26589
,,,,,,,,512,13009.31313
,,,,,,,,513,13766.54567
,,,,,,,,514,14344.64998
,,,,,,,,515,14714.91635
,,,,,,,,516,14760.50527
,,,,,,,,517,14717.98651
,,,,,,,,518,14613.53737
,,,,,,,,519,14508.82358
,,,,,,,,520,14543.58191
,,,,,,,,521,14939.42754
,,,,,,,,522,16505.4045
,,,,,,,,523,17008.93362
,,,,,,,,524,16809.70571
,,,,,,,,525,16580.71242
,,,,,,,,526,15769.26537
,,,,,,,,527,14481.26163
,,,,,,,,528,13281.97715
,,,,,,,,529,12443.0791
,,,,,,,,530,11928.68484
,,,,,,,,531,11664.86682
,,,,,,,,532,11661.81441
,,,,,,,,533,12051.00656
,,,,,,,,534,13121.88176
,,,,,,,,535,14973.02099
,,,,,,,,536,16223.42299
,,,,,,,,537,16694.63509
,,,,,,,,538,17114.96719
,,,,,,,,539,17415.92111
,,,,,,,,540,17396.15966
,,,,,,,,541,17233.84067
,,,,,,,,542,17026.8269
,,,,,,,,543,16868.22234
,,,,,,,,544,16786.2309
,,,,,,,,545,16965.53141
,,,,,,,,546,18304.11121
,,,,,,,,547,18851.71856
,,,,,,,,548,18517.3056
,,,,,,,,549,17911.40057
,,,,,,,,550,16858.76382
,,,,,,,,551,15360.68678
,,,,,,,,552,13973.72077
,,,,,,,,553,13029.13502
,,,,,,,,554,12527.75166
,,,,,,,,555,12245.6481
,,,,,,,,556,12194.68968
,,,,,,,,557,12558.13751
,,,,,,,,558,13628.5163
,,,,,,,,559,15452.65036
,,,,,,,,560,16439.21593
,,,,,,,,561,16714.56958
,,,,,,,,562,16773.48833
,,,,,,,,563,16784.08361
,,,,,,,,564,16670.07238
,,,,,,,,565,16454.45289
,,,,,,,,566,16305.31996
,,,,,,,,567,16112.83627
,,,,,,,,568,16046.04306
,,,,,,,,569,16318.18495
,,,,,,,,570,17842.30674
,,,,,,,,571,18405.45426
,,,,,,,,572,18106.28063
,,,,,,,,573,17634.06739
,,,,,,,,574,16597.75764
,,,,,,,,575,15102.83823
,,,,,,,,576,13751.52684
,,,,,,,,577,12971.02313
,,,,,,,,578,12515.41199
,,,,,,,,579,12230.2124
,,,,,,,,580,12163.47291
,,,,,,,,581,12526.56712
,,,,,,,,582,13580.12074
,,,,,,,,583,15414.09908
,,,,,,,,584,16340.3451
,,,,,,,,585,16452.24821
,,,,,,,,586,16522.72363
,,,,,,,,587,16637.67819
,,,,,,,,588,16631.42776
,,,,,,,,589,16553.68112
,,,,,,,,590,16574.98382
,,,,,,,,591,16516.09054
,,,,,,,,592,16415.92694
,,,,,,,,593,16491.49466
,,,,,,,,594,17665.08379
,,,,,,,,595,18347.49586
,,,,,,,,596,17949.39363
,,,,,,,,597,17398.20074
,,,,,,,,598,16419.70929
,,,,,,,,599,14991.85935
,,,,,,,,600,13685.97011
,,,,,,,,601,12875.13015
,,,,,,,,602,12325.82502
,,,,,,,,603,12082.21396
,,,,,,,,604,12053.15116
,,,,,,,,605,12389.36047
,,,,,,,,606,13435.35957
,,,,,,,,607,15189.19141
,,,,,,,,608,16145.78975
,,,,,,,,609,16413.90705
,,,,,,,,610,16518.01419
,,,,,,,,611,16766.36902
,,,,,,,,612,16814.55216
,,,,,,,,613,16530.99842
,,,,,,,,614,16622.96505
,,,,,,,,615,16571.26153
,,,,,,,,616,16448.92062
,,,,,,,,617,16438.34895
,,,,,,,,618,17507.73235
,,,,,,,,619,18044.17921
