Zone,1,2,3
t1,66.09517863414298,66.11607728803403,64.80879529648074
t2,66.09517863414298,66.11607728803403,64.80879529648074
t3,66.09517863414298,66.11607728803403,64.80879529648074
t4,66.09517863414298,66.11607728803403,64.80879529648074
t5,66.09517863414298,66.11607728803403,64.80879529648074
t6,66.09517863414298,66.11607728803403,64.80879529648074
t7,66.09517863414298,66.11607728803403,64.80879529648074
t8,66.09517863414298,66.11607728803403,64.80879529648074
t9,66.09517863414298,66.11607728803403,64.80879529648074
t10,14.161805216385853,13.988598079166191,13.886179813171251
t11,14.161805216385853,13.988598079166191,13.886179813171251
t12,0.0,0.0,0.0
t13,0.0,0.0,0.0
t14,14.161805216385853,13.988598079166191,13.886179813171251
t15,14.161805216385853,13.988598079166191,13.886179813171251
t16,66.09517863414298,65.28679605153295,64.80879529648074
t17,66.09517863414298,66.11607728803403,64.80879529648074
t18,119.63362864302596,119.63362864302596,117.30524842391324
t19,119.63362864302596,119.63362864302596,117.30524842391324
t20,119.63362864302596,119.63362864302596,117.30524842391324
t21,119.63362864302596,119.63362864302596,117.30524842391324
t22,119.63362864302596,119.63362864302596,117.30524842391324
t23,66.09517863414298,66.91357062814075,64.80879529648074
t24,61.7046360655058,62.4686642622988,60.5037040560691
t25,60.5037040560691,61.25286228560929,60.5037040560691
t26,60.5037040560691,61.2528622856093,60.503704056069076
t27,60.50370405606909,61.2528622856093,60.5037040560691
t28,60.5037040560691,61.25286228560929,60.5037040560691
t29,60.50370405606911,61.2528622856093,60.50370405606909
t30,60.50370405606911,61.2528622856093,60.50370405606909
t31,60.50370405606911,61.2528622856093,60.50370405606909
t32,60.50370405606911,61.2528622856093,60.50370405606909
t33,60.5037040560691,60.59298970510002,60.50370405606907
t34,60.50370405606909,59.76370846859893,59.32614529349441
t35,60.50370405606909,59.76370846859893,59.32614529349441
t36,60.50370405606909,59.76370846859893,59.32614529349441
t37,60.50370405606909,59.76370846859893,59.32614529349441
t38,60.50370405606909,59.76370846859893,59.32614529349441
