,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,1.824721883228159e7,1.290943357295356e6,-1.525216631965213e6,0.0,0.0,43403.983852542595,11606.402067921445,4.291497276434394e6,-41509.730446786285,-8.2494314e7,9.076953112018943e6,709470.8093150628,-838221.6556179852,0.0,0.0,13333.057612567682,2818.8429440325217,-1.1059365344708986e6,-9350.319876514508,-2.3564076e7,4.0197763493989087e6,0.0,0.0,0.0,0.0,5035.85686035463,1676.8207355693246,-3.1855607419634955e6,-32159.410570271782,-1.1246219e7
t1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,546.4653274380624,-5.37007296813629,-7850.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2242.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-546.4653274380624,-5.37007296813629,-1070.0
t2,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,603.9009123390398,-5.934488067135949,-7424.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2120.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-603.9009123390398,-5.934488067135949,-1012.0
t3,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,646.4824666621855,-6.352933743980597,-7107.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2029.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-646.4824666621855,-6.352933743980597,-969.0
t4,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,363.73978370121574,-3.574443028338394,-6947.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1984.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-363.73978370121574,-3.574443028338394,-947.0
t5,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-6922.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1977.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-944.0
t6,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7045.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2012.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-960.0
t7,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7307.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2087.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-996.0
t8,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7544.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2154.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1029.0
t9,2203.861239961885,0.0,-0.0,0.0,-0.0,0.0,0.0,1054.1784110818596,-10.359330601052987,-7946.0,1260.242686447173,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2269.0,525.7023412767558,0.0,-0.0,0.0,-0.0,0.0,0.0,-1054.1784110818596,-10.359330601052987,-1083.0
t10,4760.673730145305,0.0,-135.63889445347093,0.0,-0.0,0.0,0.0,945.4607103448271,-7.124018824055932,-8340.0,2345.13404313557,0.0,-0.0,0.0,-0.0,0.0,0.0,-589.8062873508183,-3.629030016857166,-2382.0,1137.2132676605063,0.0,-0.0,0.0,-0.0,0.0,0.0,-355.6544229940088,-3.494988807198766,-1137.0
t11,5779.348205036508,0.0,-1045.2084106011705,0.0,-0.0,0.0,0.0,1464.7593675987653,-11.094177792312115,-8578.0,2951.5701544902986,0.0,-229.16975233067222,0.0,-0.0,0.0,0.0,-898.1752771129409,-5.526399278790841,-2449.0,1382.2157248586443,0.0,-0.0,0.0,-0.0,0.0,0.0,-566.5840904858245,-5.567778513521275,-1169.0
t12,6383.652308243469,0.0,-1124.1065253451002,0.0,-0.0,0.0,0.0,1023.7127663756189,-7.453565032195583,-8666.0,3155.2735095438206,0.0,-597.798165335845,0.0,-0.0,0.0,0.0,-709.4116662745442,-4.36495216553647,-2474.0,1139.4535688270323,0.0,-0.0,0.0,-0.0,0.0,0.0,-314.3011001010748,-3.0886128666591146,-1181.0
t13,6101.584350933452,0.0,-1124.1065253451002,0.0,-0.0,0.0,0.0,1349.940368572716,-10.613209919275542,-8707.0,3180.917171210933,0.0,-597.798165335845,0.0,-0.0,0.0,0.0,-721.9780082635548,-4.442271843637979,-2487.0,1462.1971542440972,0.0,-0.0,0.0,-0.0,0.0,0.0,-627.9623603091611,-6.170938075637564,-1187.0
t14,5930.267137876256,0.0,-861.2545262567854,0.0,-0.0,0.0,0.0,1179.9336326932373,-9.141260070916042,-8630.0,3099.3569924496346,0.0,-597.798165335845,0.0,-0.0,0.0,0.0,-667.8971511028155,-4.10951673711781,-2464.0,1334.1320807835184,0.0,-0.0,0.0,-0.0,0.0,0.0,-512.0364815904217,-5.031743333798232,-1176.0
t15,5266.071938209932,0.0,-409.3000296300483,0.0,-0.0,0.0,0.0,668.4348230959698,-5.238571901775146,-8544.0,2771.7505815841455,0.0,-597.798165335845,0.0,-0.0,0.0,0.0,-362.026172943418,-2.227517536987756,-2440.0,1115.4835603766378,0.0,-0.0,0.0,-0.0,0.0,0.0,-306.40865015255173,-3.01105436478739,-1165.0
t16,3512.0818898561515,0.0,-0.0,0.0,-0.0,0.0,0.0,908.9619086140008,-7.801044282486686,-8594.0,1965.205546491288,0.0,-0.0,0.0,-0.0,0.0,0.0,-307.9078166407205,-1.894531701303298,-2454.0,752.7800846025877,0.0,-0.0,0.0,-0.0,0.0,0.0,-601.0540919732802,-5.906512581183388,-1171.0
t17,1300.6260274935466,0.0,-0.0,0.0,-0.0,0.0,0.0,332.5751729846382,-3.268190782919306,-9431.0,919.0586537387791,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2693.0,0.007963361392020396,0.0,-0.0,0.0,-0.0,0.0,0.0,-332.5751729846382,-3.268190782919306,-1286.0
t18,0.0,1124.1065253451002,-0.0,0.0,-0.0,0.0,0.0,311.6261987668485,-3.0623268158776145,-10225.0,0.0,597.798165335845,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2920.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-311.6261987668485,-3.0623268158776145,-1394.0
t19,0.0,1124.1065253451002,-0.0,0.0,-0.0,0.0,0.0,370.3735924497164,-3.639632959423541,-10165.0,0.0,586.9482554567877,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2903.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-370.3735924497164,-3.639632959423541,-1386.0
t20,0.0,1124.1065253451002,-0.0,0.0,-0.0,0.0,0.0,421.0882734018928,-4.138002249467487,-9854.0,0.0,498.94825545678765,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2815.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-421.0882734018928,-4.138002249467487,-1343.0
t21,0.0,605.4344851697497,-0.0,0.0,-0.0,0.0,0.0,469.6114399561859,-4.614835695174284,-9490.0,0.0,393.94825545678725,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2710.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-469.6114399561859,-4.614835695174284,-1294.0
t22,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,537.9399806142723,-5.286295037087937,-8982.0,0.0,140.23181522751062,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2565.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-537.9399806142723,-5.286295037087937,-1225.0
t23,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,408.76167189535374,-5.12547305403549,-8353.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,69.37511488459958,-0.4268594278130781,-2385.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-478.1367867799533,-4.6986136262224125,-1139.0
t24,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,334.4070013777918,-6.98588636748454,-7648.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,231.522586210839,-1.4245396038645162,-2184.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-565.9295875886307,-5.561346763620024,-1042.0
t25,0.0,0.0,-203.18881025127527,0.0,-0.0,0.0,0.0,-59.46392328061023,-0.36587667363584736,-7051.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,59.46392328061023,-0.36587667363584736,-2013.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-961.0
t26,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-6689.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1910.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-912.0
