Resource,Zone,StartCap,RetCap,NewCap,EndCap
NGCT,1,954.0,0.0,7505.754379098546,8459.754379098547
NGST,1,528.0,0.0,3588.077914634199,4116.077914634198
Adsorber,1,442.0,0.0,2317.444870094624,2759.444870094624
Compressor,1,42.7,0.0,150.15251075258382,192.8525107525838
Regenerator,1,552.0,0.0,1939.5965846486702,2491.59658464867
Rich,1,6122.0,0.0,28741.371880782695,34863.371880782695
Lean,1,6122.0,0.0,28741.371880792492,34863.37188079249
BOP,1,1482.0,0.0,11093.832293732745,12575.832293732745
NGCT,2,954.0,0.0,1281.2981804656806,2235.298180465681
NGST,2,528.0,0.0,554.8935133329139,1082.893513332914
Adsorber,2,442.0,0.0,334.6243622091303,776.6243622091304
Compressor,2,42.7,0.0,8.773374359622583,51.47337435962258
Regenerator,2,552.0,0.0,113.02055510863903,665.0205551086391
Rich,2,6122.0,0.0,9635.365884525803,15757.365884525803
Lean,2,6122.0,0.0,9635.365884525801,15757.365884525801
BOP,2,1482.0,0.0,1836.1916937985945,3318.1916937985943
NGCT,3,954.0,0.0,331.7855453381274,1285.7855453381273
NGST,3,528.0,0.0,81.34761463383656,609.3476146338365
Adsorber,3,442.0,0.0,136.76555299809587,578.7655529980958
Compressor,3,42.7,0.0,0.025450256000002225,42.725450256
Regenerator,3,552.0,0.0,0.0,552.0
Rich,3,6122.0,0.0,0.0,6122.0
Lean,3,6122.0,0.0,0.0,6122.0
BOP,3,1482.0,0.0,413.133159971964,1895.133159971964
Total,n/a,48734.1,0.0,108440.19308606078,157174.29308606073
