Resource,USA_Single_biomass_1.0,USA_Single_conventional_hydroelectric_1.0,USA_Single_conventional_steam_coal_1.0,USA_Single_conventional_steam_coal_2.0,USA_Single_conventional_steam_coal_3.0,USA_Single_conventional_steam_coal_4.0,USA_Single_conventional_steam_coal_5.0,USA_Single_conventional_steam_coal_6.0,USA_Single_conventional_steam_coal_7.0,USA_Single_conventional_steam_coal_8.0,USA_Single_conventional_steam_coal_9.0,USA_Single_conventional_steam_coal_10.0,USA_Single_conventional_steam_coal_11.0,USA_Single_conventional_steam_coal_12.0,USA_Single_conventional_steam_coal_13.0,USA_Single_conventional_steam_coal_14.0,USA_Single_conventional_steam_coal_15.0,USA_Single_conventional_steam_coal_16.0,USA_Single_conventional_steam_coal_17.0,USA_Single_conventional_steam_coal_18.0,USA_Single_conventional_steam_coal_19.0,USA_Single_conventional_steam_coal_20.0,USA_Single_conventional_steam_coal_21.0,USA_Single_conventional_steam_coal_22.0,USA_Single_geothermal_1.0,USA_Single_hydroelectric_pumped_storage_1.0,USA_Single_natural_gas_fired_combined_cycle_1.0,USA_Single_natural_gas_fired_combined_cycle_2.0,USA_Single_natural_gas_fired_combined_cycle_3.0,USA_Single_natural_gas_fired_combined_cycle_4.0,USA_Single_natural_gas_fired_combined_cycle_5.0,USA_Single_natural_gas_fired_combined_cycle_6.0,USA_Single_natural_gas_fired_combined_cycle_7.0,USA_Single_natural_gas_fired_combined_cycle_8.0,USA_Single_natural_gas_fired_combustion_turbine_1.0,USA_Single_natural_gas_fired_combustion_turbine_2.0,USA_Single_natural_gas_fired_combustion_turbine_3.0,USA_Single_natural_gas_fired_combustion_turbine_4.0,USA_Single_natural_gas_fired_combustion_turbine_5.0,USA_Single_natural_gas_fired_combustion_turbine_6.0,USA_Single_natural_gas_steam_turbine_1.0,USA_Single_natural_gas_steam_turbine_2.0,USA_Single_nuclear_1.0,USA_Single_onshore_wind_turbine_1.0,USA_Single_small_hydroelectric_1.0,USA_Single_solar_photovoltaic_1.0,USA_Single_naturalgas_ccccsavgcf_mid_0.0,USA_Single_naturalgas_ccavgcf_mid_0.0,USA_Single_naturalgas_ctavgcf_mid_0.0,USA_Single_battery_mid_0.0,USA_Single_naturalgas_ccs100_mid_0.0,USA_Single_landbasedwind_ltrg1_mid_40_1.0,USA_Single_landbasedwind_ltrg1_mid_40_2.0,USA_Single_landbasedwind_ltrg1_mid_40_3.0,USA_Single_landbasedwind_ltrg1_mid_40_4.0,USA_Single_landbasedwind_ltrg1_mid_40_5.0,USA_Single_landbasedwind_ltrg1_mid_40_6.0,USA_Single_landbasedwind_ltrg1_mid_40_7.0,USA_Single_landbasedwind_ltrg1_mid_40_8.0,USA_Single_landbasedwind_ltrg1_mid_40_9.0,USA_Single_landbasedwind_ltrg1_mid_40_10.0,USA_Single_landbasedwind_ltrg1_mid_40_11.0,USA_Single_landbasedwind_ltrg1_mid_40_12.0,USA_Single_landbasedwind_ltrg1_mid_40_13.0,USA_Single_landbasedwind_ltrg1_mid_40_14.0,USA_Single_landbasedwind_ltrg1_mid_40_15.0,USA_Single_utilitypv_losangeles_mid_0_2_1.0,USA_Single_utilitypv_losangeles_mid_0_2_2.0,USA_Single_utilitypv_losangeles_mid_0_2_3.0,USA_Single_utilitypv_losangeles_mid_0_2_4.0,USA_Single_utilitypv_losangeles_mid_0_2_5.0,USA_Single_utilitypv_losangeles_mid_0_2_6.0,USA_Single_utilitypv_losangeles_mid_0_2_7.0,USA_Single_utilitypv_losangeles_mid_0_2_8.0,USA_Single_utilitypv_losangeles_mid_0_2_9.0,USA_Single_utilitypv_losangeles_mid_0_2_10.0,USA_Single_utilitypv_losangeles_mid_0_2_11.0,USA_Single_utilitypv_losangeles_mid_0_2_12.0,USA_Single_utilitypv_losangeles_mid_0_2_13.0,USA_Single_utilitypv_losangeles_mid_0_2_14.0,USA_Single_utilitypv_losangeles_mid_0_2_15.0
t10,0.0,6185.0888822308525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,6293.587762676726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,6297.520195508905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,6257.962923972182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,6227.171488834026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,6334.5597186894465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,7235.063224230857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,8882.32070669413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.15800377765703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,9326.930115033669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.15800377765703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,9073.953178991635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.5630475844098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
