,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t6666,19650.02463354482,20.454726455181316,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-19670.47936
t6667,19759.389016490688,0.0,-327.33614649068437,0.0,-0.0,0.0,0.0,0.0,0.0,-19432.05287
t6668,20017.95591,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-20017.95591
t6669,19167.97167622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-19483.12968
t6670,18349.756429999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18349.75643
t6671,16660.28545,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16660.28545
t6672,15170.01457,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15170.01457
t6673,14258.29156,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14258.29156
t6674,13717.86565,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13717.86565
t6675,13306.92984,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13306.92984
t6676,13136.44651,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13136.44651
t6677,13362.44907,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13362.44907
t6678,14200.638219999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14200.63822
t6679,15520.61552,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15520.61552
t6680,16250.09557,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16250.09557
t6681,16864.291289999997,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16864.29129
t6682,17791.500067584413,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17448.93702
t6683,17659.109976524556,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17949.05534
t6684,18511.15867991152,0.0,-127.91038991151993,0.0,-0.0,0.0,0.0,0.0,0.0,-18383.24829
t6685,18647.025025426443,0.0,-41.069545426444,0.0,-0.0,0.0,0.0,0.0,0.0,-18605.95548
