R_ID,Zone,FLECCS_NO,Resource,Existing_Cap_Unit,TURBINE,COMPRESSOR,ABSORBER,REGEN,SOLVENT,BOP,THERM,DISP,NDISP,STOR,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Cap_MWh,New_Build,Num_unit,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Var_OM_Cost_per_Unit,Var_OM_cost_per_MWh_in,Inv_Cost_per_Unityr,Fixed_OM_Cost_per_Unityr,Start_Cost_per_Unit,Start_Fuel_MMBTU_per_Unit,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time
1,1,1,NGCT,954,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,477,0,-1,0,0,1.67,0,38414.92662,3841.492662,95,0,NENGREST_NG,0.2,0,1,1,0,0,0.64,0.64,6,6
1,1,2,NGST,528,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,264,0,-1,0,0,1.67,0,29375.51331,2937.551331,95,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
1,1,3,Adsorber,442,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,220.7976736,0,-1,0,0,11.2,0,112503.2727,11250.32727,14.16983529,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
1,1,4,Compressor,42.7,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,21.36250005,0,-1,0,0,0,0,245268,24526.8,0,0,None,0.16,0,1,1,0,0,0.64,0.64,6,6
1,1,5,Regenerator,552,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,275.997092,0,-1,0,0,0,0,112503.2727,11250.32727,14.16983529,0,None,0.16,0,1,1,0,0,0.64,0.64,6,6
1,1,6,Rich,6122,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3061.058658,0,0,0,0,0,0,88.48,8.848,0,0,None,0,0,1,1,0,0,0.64,0.64,0,0
1,1,7,Lean,6122,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,3061.058658,0,0,0,0,0,0,88.48,8.848,0,0,None,0,0,1,1,0,0,0.64,0.64,0,0
1,1,8,BOP,1482,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,741,0,0,0,0,0,0,26091.89189,2609.189189,0,0,None,0,0,1,1,0,0,0,0,0,0
